"taxon","lfc_(Intercept)","lfc_dietvegan","se_(Intercept)","se_dietvegan","W_(Intercept)","W_dietvegan","p_(Intercept)","p_dietvegan","q_(Intercept)","q_dietvegan","diff_(Intercept)","diff_dietvegan","passed_ss_(Intercept)","passed_ss_dietvegan","diff_robust_(Intercept)","diff_robust_dietvegan"
"s__Siphoviridae sp. ctfeV1",0.784235350354719,-1.68872061069115,0.340488131583952,0.578756600929017,2.3032678017482,-2.9178425057795,0.147816617953799,0.100125614587541,0.688931022963241,0.507432726356276,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. ctg0K17",-1.09768744425295,1.25803050562658,0.319444296379071,0.976221199055751,-3.43624054865068,1.28867361909719,0.0413492095498007,0.287895699927559,0.365502928545904,0.664456227233788,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. ctjdk2",-0.027923493419265,-0.687953318644909,0.155378393578596,0.564521464075671,-0.179712846658697,-1.21864864743689,0.868831203747685,0.310066347627331,0.956814110456311,0.666783642338144,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. ctLKT1",-1.1806902598846,1.60111497164226,0.320019008378471,0.907114958923631,-3.68943790516424,1.76506291280007,0.0210290911864946,0.152314266545983,0.303096658027163,0.548331359565538,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. ctoWO12",0.541508478510034,-1.21352940916169,0.607782566715391,0.807058637054795,0.890957569639552,-1.50364465906744,0.423300566085794,0.207106244914433,0.847728361094181,0.600608110251856,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. ctPyh10",0.507859225589065,-1.25971647598097,0.989810595350792,1.05781059327556,0.513087279500254,-1.19087148870404,0.643283755252471,0.31934082487459,0.926382149195326,0.666783642338144,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. ctrfD19",0.10549060001094,-0.681785521074554,0.444699778186258,0.634437377214498,0.237217568313597,-1.07463012987655,0.824142213789682,0.343043193303913,0.945859328826191,0.695691032793359,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. ctRg61",0.852171583590349,-2.43721847099397,0.22078770703875,0.497637137369577,3.85968763850058,-4.89758156691578,0.0610446682933796,0.0392521743047276,0.455218812130631,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. ctSA812",-0.360857752126722,-0.0385500438735051,0.245114326303114,0.541206647626029,-1.47220179892903,-0.0712298048122701,0.214946702803627,0.946634039660722,0.768508074407487,0.988714864012642,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. ctTgb17",-0.438534803649393,0.428014361739077,0.601864504485917,0.985911352700051,-0.728627125176567,0.434130675711262,0.518956321231513,0.693521086507864,0.876582924394328,0.902788047773329,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. cttWj13",-1.15542344342598,1.4739486808637,0.464975915480975,1.06804054126058,-2.48491030386122,1.38004937445918,0.130894094729876,0.301590893406239,0.642528039526375,0.666783642338144,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. ctwQg18",-1.28849932632126,1.64485848714294,0.327096347063012,0.933635074637441,-3.93920426776593,1.76177880611618,0.0291517598085669,0.176319515474665,0.310555482042284,0.575242419236094,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. ctX8T1",1.25473790205146,-3.48691696723921,0.241726822390278,0.429703326254912,5.19072682809538,-8.11470787910697,0.0351683033813812,0.0148489687731521,0.337017560722511,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. ctXQ92",-0.293108201474565,-0.0299400738151026,0.21040922923334,0.680688800466568,-1.39303871100404,-0.0439849661028367,0.222371585592007,0.966618940547209,0.772781817405207,0.988714864012642,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. ctyHC15",-0.102780386899748,-0.0389934464389656,0.341606108700232,0.496188161271024,-0.300873972338534,-0.0785860072499128,0.791907263269613,0.9445168979282,0.945859328826191,0.988714864012642,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. ctzrC10",-0.884181576829297,0.790921990522307,0.190246730855226,0.55918850400064,-4.64755201235042,1.41441031935342,0.043311282293069,0.292844034700722,0.365502928545904,0.664456227233788,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Crassvirales sp.",-0.0456540046120261,-0.164588525593204,0.586389893387836,0.918385768881081,-0.0778560564000559,-0.179215021802582,0.94047401795864,0.863667658493877,0.9729284088335,0.955157876554669,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Herelleviridae sp.",0.442121858530019,-1.1401402518773,0.49778087479992,1.12186019507739,0.888185707632355,-1.01629441607797,0.408632579112051,0.348704888816982,0.847728361094181,0.695691032793359,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__mushu",0.349361660311672,-1.54172679816359,0.15514640639133,0.4200212743686,2.25181922313087,-3.67059216341171,0.109753127951542,0.0349856434751536,0.605609416506331,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Ackermannviridae sp.",-0.43867582274366,0.621455110670061,0.274137616820016,0.441379434478195,-1.60020294854927,1.40798383913096,0.160671234598048,0.208780221076606,0.702501182273284,0.602117543657393,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__virus sp. ctusH3",0.113285912543469,-0.108701858011945,0.234547692545115,0.428629269911341,0.48299734401215,-0.253603441581181,0.676799124425714,0.823490863737744,0.927268091732868,0.939536103704088,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Bacteriophage sp.",0.17236673713743,-0.600630009092116,0.390490096185374,0.50578490608399,0.441411290122974,-1.18752062757756,0.67437780975905,0.279898214926961,0.926382149195326,0.664456227233788,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__uncultured human fecal virus",-0.56859530123115,0.881294067645042,0.858413238626479,1.03866781633846,-0.662379464395193,0.848485005294383,0.532331009641766,0.428713713307441,0.876582924394328,0.740872745289441,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__uncultured phage",1.16924602063025,-3.10586240749308,0.496989268446992,0.67852438413253,2.3526584875443,-4.57737773339394,0.0653439847031074,0.00596168822811045,0.478220522684274,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__virus sp. ctHG14",-0.654790075477912,0.58867640240402,0.194302222909209,0.559681674420323,-3.36995668744292,1.05180574835459,0.0434122252295902,0.370130623474922,0.365502928545904,0.710973277222857,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__virus sp. ctL1g6",0.652155493478859,-1.54338036691833,0.118424452729626,0.421378193676851,5.50693271910482,-3.6626963380595,0.0117881995179609,0.0351788229036034,0.279701824926163,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__virus sp. ctLpa4",-1.08059619942644,1.1837512357166,0.213313178171276,0.43343719955589,-5.06577328550606,2.73107900505425,0.036828778397465,0.111992949911017,0.337017560722511,0.514681211076806,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__virus sp. ctCsQ3",-0.378945031735592,0.0601264847643076,0.118492609977162,0.396664648463566,-3.19804780913027,0.151580144581072,0.0494055906223857,0.889137691834312,0.390753307649778,0.97074784021056,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
